adult_popup,comments_count,date,image,link,share_count,tag,title
Just For Kids,1,2017/03/10,http://cdn0-a.production.images.static6.com/UXC5AY-hj0nno5-CAeDzZkdWyb4=/1280x710/smart/filters:quality(75):strip_icc():format(jpeg)/liputan6-media-production/medias/1532829/original/092063000_1489132751-sekarat_1.jpg,http://citizen6.liputan6.com/read/2881709/kakak-pada-adik-yang-sekarat-aku-di-sini-kamu-tak-perlu-takut,34,Hits,"Kakak pada Adik yang Sekarat: Aku di Sini, Kamu Tak Perlu Takut"
Just For Kids,0,2017/03/10,http://cdn1-a.production.images.static6.com/uHYUwDqfyI8y3IkQ3nphaRVWzvM=/1280x710/smart/filters:quality(75):strip_icc():format(jpeg)/liputan6-media-production/medias/1530449/original/082261000_1488962246-idaman-750x422.jpg,http://lifestyle.liputan6.com/read/2879668/wanita-ini-5-cara-sederhana-dapatkan-pria-idaman-semua-wanita,18,Life,"Wanita, Ini 5 Cara Sederhana Dapatkan Pria Idaman Semua Wanita"
Just For Kids,0,2017/03/10,http://cdn1-a.production.images.static6.com/DUOzwtX9_jxJbYAraewFNYuHDWU=/1280x710/smart/filters:quality(75):strip_icc():format(jpeg)/liputan6-media-production/medias/1467259/original/096658900_1484035251-20170110-Ketua-DPR-Setya-Novanto-Diperiksa-Penyidik-KPK-Afandi-4.jpg,http://news.liputan6.com/read/2882049/ketua-dpr-sambut-baik-pertemuan-jokowi-sby,19,Politik,Ketua DPR Sambut Baik Pertemuan Jokowi-SBY
Just For Kids,0,2017/03/10,http://cdn0-a.production.images.static6.com/3TgtWzKLlwKSrs9h4GGs2OWCHeo=/1280x710/smart/filters:quality(75):strip_icc():format(jpeg)/liputan6-media-production/medias/1509381/original/057799700_1487248687-20170216--Pemerintah-Percepat-Pembangunan-Proyek-Jalan-Tol-Cijago-Depok--Immanuel-Antonius-01.jpg,http://bisnis.liputan6.com/read/2882131/pemerintah-perlu-kebut-pembebasan-lahan-tol-kunciran-bandara,11,Ekonomi,Pemerintah Perlu Kebut Pembebasan Lahan Tol Kunciran-Bandara
Just For Kids,3,2017/03/10,http://cdn0-a.production.images.static6.com/Ffv9-iKj3Vn88zQwcd3YNMZSwvU=/1280x710/smart/filters:quality(75):strip_icc():format(jpeg)/liputan6-media-production/medias/173860/big/img_villa-301110.jpg,http://bola.liputan6.com/read/2882151/comeback-luar-biasa-barcelona-tim-terbaik-dalam-sejarah,30,Liga Internasional,"Comeback Luar Biasa, Barcelona Tim Terbaik dalam Sejarah "
Just For Kids,4,2017/03/10,http://cdn1-a.production.images.static6.com/rpXFViueJXyl_zXB0jBbzap1n4Y=/1280x710/smart/filters:quality(75):strip_icc():format(jpeg)/liputan6-media-production/medias/1533013/original/035950000_1489142370-Pratyusha_Banerjee.jpg,http://showbiz.liputan6.com/read/2881919/terkuak-penyebab-pratyusha-banerjee-bunuh-diri-bukan-aborsi,162,Bollywood,"Terkuak, Penyebab Pratyusha Banerjee Bunuh Diri Bukan Aborsi"
Just For Kids,9,2017/03/10,http://cdn0-a.production.images.static6.com/FUur2uHuj6kiq7LJ92ZxDyxygzk=/1280x710/smart/filters:quality(75):strip_icc():format(jpeg)/liputan6-media-production/medias/1530316/original/012824100_1488957760-20170308-Sandiaga-Uno-HF4.jpg,http://news.liputan6.com/read/2881755/sandiaga-uno-apresiasi-polisi-teliti-kasusnya-4-tahun-lalu,15,Peristiwa,Sandiaga Uno Apresiasi Polisi Teliti Kasusnya 4 Tahun Lalu
Just For Kids,1,2017/03/10,http://cdn1-a.production.images.static6.com/vwjAXWx3-kw_VWgh4dQoBNzqgwM=/1280x710/smart/filters:quality(75):strip_icc():format(jpeg)/liputan6-media-production/medias/1519255/original/058132800_1488023936-20170225-LRT-Bekasi-Cawang-18_5-km-GM2.jpg,http://bisnis.liputan6.com/read/2882122/subsidi-tarif-lrt-rp-10-ribu-per-orang-pada-2019,23,Ekonomi,Subsidi Tarif LRT Rp 10 Ribu per Orang pada 2019
21 Tahun,0,2017/03/10,http://cdn0-a.production.images.static6.com/ZuY9cwXN4elPcP99_WlSu7XjHZU=/1280x710/smart/filters:quality(75):strip_icc():format(jpeg)/liputan6-media-production/medias/1462575/original/003218000_1483618646-TanyaDokter_Image_Rahim-Kecil-dan-Penis-Kecil.jpg,http://health.liputan6.com/read/2881997/ukuran-penis-tak-jamin-wanita-orgasme,17,Seks,Ukuran Penis Tak Jamin Wanita Orgasme
Just For Kids,8,2017/03/10,http://cdn1-a.production.images.static6.com/UAsKj-RyqCIpoH93iJwZOU0SaCY=/1280x710/smart/filters:quality(75):strip_icc():format(jpeg)/liputan6-media-production/medias/1533072/original/020906900_1489143768-Deniz_Aytekin..jpg,http://bola.liputan6.com/read/2882004/uefa-parkir-wasit-barcelona-vs-psg,1k,Liga Internasional,UEFA Parkir Wasit Barcelona Vs PSG
Just For Kids,0,2017/03/10,http://cdn1-a.production.images.static6.com/TJhiUaMjP4_h9T2BVwYiYRihvVI=/1280x710/smart/filters:quality(75):strip_icc():format(jpeg)/liputan6-media-production/medias/1533136/original/087541600_1489146319-0__trump.jpg,http://global.liputan6.com/read/2881976/10-miliarder-berwajah-biasa-ini-punya-putri-yang-cantik-rupawan,8.5k,Unik,10 Miliarder Berwajah Biasa Ini Punya Putri yang Cantik Rupawan
Just For Kids,0,2017/03/10,http://cdn1-a.production.images.static6.com/4o-2XHUnRKzSnyC7TsOkUewnTgY=/1280x710/smart/filters:quality(75):strip_icc():format(jpeg)/liputan6-media-production/medias/1533218/original/087157100_1489152096-Emas_Hijau.jpg,http://regional.liputan6.com/read/2882185/dengan-emas-hijau-dan-biru-kembali-katong-samua-basudara,15,Maluku-Papua,"Dengan Emas Hijau dan Biru, Kembali Katong Samua Basudara"
Just For Kids,0,2017/03/10,http://cdn0-a.production.images.static6.com/Ke-ctRZ5LrexWOQyIyRfSsiDJJU=/1280x710/smart/filters:quality(75):strip_icc():format(jpeg)/liputan6-media-production/medias/1533020/original/051792500_1489142681-Hesket_Valiant_SC.jpg,http://otomotif.liputan6.com/read/2882019/hesketh-valiant-sc-motor-bermesin-2100-cc-supercharger,19,Motor,"Hesketh Valiant SC, Motor Bermesin 2.100 Cc Supercharger"
Just For Kids,2,2017/03/10,http://cdn1-a.production.images.static6.com/6MzPfaNgoonJ-AxJId3O1NSOE-A=/1280x710/smart/filters:quality(75):strip_icc():format(jpeg)/liputan6-media-production/medias/1533040/original/004093600_1489143196-zulkifli.jpg,http://news.liputan6.com/read/2882039/ketua-mpr-siap-dampingi-warga-bukit-duri-di-pengadilan,398,Zona MPR RI,Ketua MPR Siap Dampingi Warga Bukit Duri di Pengadilan
