adult_popup,comments_count,date,image,link,share_count,tag,title
Just For Kids,0,2017/03/01,http://cdn0-a.production.images.static6.com/-ON9ZR6ftGBcueV4NAE0A8z6sRs=/1280x710/smart/filters:quality(75):strip_icc():format(jpeg)/liputan6-media-production/medias/932103/big/085004700_1437365919-artis-3.jpg,http://showbiz.liputan6.com/read/2872208/bunga-citra-lestari-diam-diam-dikagumi-dimas-beck,18,Musik,Bunga Citra Lestari Diam-Diam Dikagumi Dimas Beck
Just For Kids,0,2017/03/01,http://cdn0-a.production.images.static6.com/6Abqovjw9QrOtGZb87iU43p43fc=/1280x710/smart/filters:quality(75):strip_icc():format(jpeg)/liputan6-media-production/medias/1523389/original/039550600_1488364413-benny.jpg,http://bola.liputan6.com/read/2872700/piala-presiden-arema-fc-tampil-beda-tanpa-benny-wahyudi,10,Liga Indonesia,Piala Presiden: Arema FC Tampil Beda Tanpa Benny Wahyudi
Just For Kids,0,2017/03/01,http://cdn0-a.production.images.static6.com/cwnIbUHBsT0MD26uciFb-4hkqf0=/1280x710/smart/filters:quality(75):strip_icc():format(jpeg)/liputan6-media-production/medias/1523452/original/090291100_1488366010-20170301-Raja-Salman-Tinggalkan-Istana-Bogor-HEL3.jpg,http://photo.liputan6.com/news/diringi-pasukan-berkuda-raja-salman-tinggalkan-istana-bogor-2872754,14,News,"Diringi Pasukan Berkuda, Raja Salman Tinggalkan Istana Bogor"
Just For Kids,13,2017/03/01,http://cdn1-a.production.images.static6.com/r63323dzWDMFuUAT_kwixou35kM=/1280x710/smart/filters:quality(75):strip_icc():format(jpeg)/liputan6-media-production/medias/1523223/original/051669800_1488359158-170301_Kunjungan_Raja_Arab_Dulu_dan_Kini_banner_Abdillah.jpg,http://news.liputan6.com/read/2872583/bedanya-kunjungan-raja-faisal-dengan-raja-salman,74.2k,Infografis,Bedanya Kunjungan Raja Faisal dengan Raja Salman 
Just For Kids,0,2017/03/01,http://cdn0-a.production.images.static6.com/DDnJoOsXdFN2Pe9PFqMX8_8jdbQ=/1280x710/smart/filters:quality(75):strip_icc():format(jpeg)/liputan6-media-production/medias/1499415/original/082842800_1486445347-20170207_114954.jpg,http://regional.liputan6.com/read/2872586/kondisi-terkini-bayi-tampan-yang-sempat-dikerubungi-semut,16,Palembang,Kondisi Terkini Bayi Tampan yang Sempat Dikerubungi Semut  
Just For Kids,0,2017/03/01,http://cdn0-a.production.images.static6.com/TdLA7C41vcHyLJ9bYpdBhSQoV3c=/1280x710/smart/filters:quality(75):strip_icc():format(jpeg)/liputan6-media-production/medias/1522862/original/067421600_1488345741-pasangan_sindrom_down.jpg,http://citizen6.liputan6.com/read/2872190/bahagia-pasangan-down-syndrom-ini-rayakan-22-tahun-pernikahan,10,Blog Keren," Bahagia, Pasangan Down Syndrom Ini Rayakan 22 Tahun Pernikahan "
Just For Kids,0,2017/03/01,http://cdn0-a.production.images.static6.com/K7RsKq-Uhlq-8uqH4Icw_cqDvdg=/1280x710/smart/filters:quality(75):strip_icc():format(jpeg)/liputan6-media-production/medias/1521496/original/047468900_1488253553-141007-1000xauto-pangeran-arab-inspiratif.jpg,http://health.liputan6.com/read/2872347/cara-alami-miliki-jenggot-lebat-seperti-pangeran-arab,393,Health Info,Cara Alami Miliki Jenggot Lebat Seperti Pangeran Arab
Just For Kids,0,2017/03/01,http://cdn0-a.production.images.static6.com/QWD3YZOpcZZcMIrDuFhawr3S2q4=/55x122:890x585/1280x710/filters:quality(75):strip_icc():format(jpeg)/liputan6-media-production/medias/1523347/original/935fd94e47bf1736160cbdc8ad29f5d3-049807000_1488363648-ariel_noah.jpg,http://bola.liputan6.com/read/2872687/semenit-sports-ariel-noah-bikin-heboh-superliga-badminton,17,Sports,SEMENIT SPORTS: Ariel NOAH Bikin Heboh Superliga Badminton
Just For Kids,2,2017/03/01,http://cdn1-a.production.images.static6.com/lUjgCnHHvVlu-nRoWdwlX8C8EiU=/1280x710/smart/filters:quality(75):strip_icc():format(jpeg)/liputan6-media-production/medias/1523073/original/073677700_1488353735-Raja-Salman8.jpg,http://news.liputan6.com/read/2872606/ketika-raja-ke-7-arab-dan-presiden-ke-7-ri-bertemu,726,Peristiwa,Ketika Raja ke-7 Arab dan Presiden ke-7 RI Bertemu
Just For Kids,0,2017/03/01,http://cdn0-a.production.images.static6.com/l-5mE6HwjrYFrRLzqTpsAFvrrQA=/1280x710/smart/filters:quality(75):strip_icc():format(jpeg)/liputan6-media-production/medias/1522755/original/057129100_1488341939-mersi_9.jpg,http://otomotif.liputan6.com/read/2872238/menolak-mercedes-benz-e200-delegasi-raja-salman-ganti-mobil,18,Oto News,"Menolak Mercedes-Benz E200, Delegasi Raja Salman Ganti Mobil"
Just For Kids,0,2017/03/01,http://cdn0-a.production.images.static6.com/-nDczLB4NeKYB-69pD26g4EzPts=/1280x710/smart/filters:quality(75):strip_icc():format(jpeg)/liputan6-media-production/medias/1522681/original/031462700_1488339614-foto7.jpg,http://showbiz.liputan6.com/read/2872042/mikha-tambayong-merasa-pantas-pamer-lekuk-tubuh,4.4k,Selebritis,Mikha Tambayong Merasa Pantas Pamer Lekuk Tubuh
Just For Kids,0,2017/03/01,http://cdn1-a.production.images.static6.com/pqENHLNaul4U8KA8PdrWciwt5DM=/1280x710/smart/filters:quality(75):strip_icc():format(jpeg)/liputan6-media-production/medias/1523315/original/075605100_1488362599-si.jpg,http://tekno.liputan6.com/read/2872649/silicon-valley-indonesia-akan-dibangun-di-tangerang,1.5k,Tech News,'Silicon Valley Indonesia' Akan Dibangun di Tangerang
21 Tahun,1,2017/03/01,http://cdn1-a.production.images.static6.com/pwprVk_vPT1-0ifitDS4IjliIb0=/1280x710/smart/filters:quality(75):strip_icc():format(jpeg)/liputan6-media-production/medias/1082043/original/053244500_1449885830-20151213-ilustrasi_kamar_hotel.jpg,http://global.liputan6.com/read/2872355/8-tamu-paling-aneh-yang-pernah-ditemui-staf-hotel,712,Unik,8 Tamu Paling Aneh yang Pernah Ditemui Staf Hotel 
Just For Kids,0,2017/03/01,http://cdn1-a.production.images.static6.com/g-sORxKK5ozceSgkaYXyhFJr3S8=/1280x710/smart/filters:quality(75):strip_icc():format(jpeg)/liputan6-media-production/medias/1522197/original/021988400_1488279719-24238812081_e87c6ea799.jpg,http://lifestyle.liputan6.com/read/2871527/cara-lain-mengenakan-sorban-arab-ini-buat-anda-makin-stylish,1.7k,Fashion & Beauty,Cara Lain Mengenakan Sorban Arab Ini Buat Anda Makin Stylish
Just For Kids,0,2017/03/01,http://cdn0-a.production.images.static6.com/2SH42pSlN5IylcgYQLwLMwRelJE=/1280x710/smart/filters:quality(75):strip_icc():format(jpeg)/liputan6-media-production/medias/1500846/original/068425300_1486534545-Mempersiapkan_Kehamilan.jpg,http://health.liputan6.com/read/2872678/cegah-anak-down-syndrome-dengan-lakukan-ini-pada-ibu-hamil,2k,Mom & Kids,Cegah Anak Down Syndrome dengan Lakukan Ini pada Ibu Hamil
Just For Kids,0,2017/03/01,http://cdn1-a.production.images.static6.com/GS4XDy9HD8KEzi22ZFGhcNgPgwA=/1280x710/smart/filters:quality(75):strip_icc():format(jpeg)/liputan6-media-production/medias/1522964/original/099231300_1488347812-WhatsApp_Image_2017-03-01_at_12.26.56.jpeg,http://news.liputan6.com/read/2872724/raja-salman-tinggalkan-istana-bogor-menuju-hotel-raffles-kuningan,14,Peristiwa,Raja Salman Tinggalkan Istana Bogor Menuju Hotel Raffles Kuningan
Just For Kids,0,2017/03/01,http://cdn1-a.production.images.static6.com/y4-fTc8i2MzQye4MYbWK1DmBV1o=/1280x710/smart/filters:quality(75):strip_icc():format(jpeg)/liputan6-media-production/medias/1523572/original/064478300_1488370101-20170301--Presiden-Jokowi-Anugerahi-Raja-Salman-Bintang-Adipurna-Bogor-Angga-Yuniar-01.jpg,http://photo.liputan6.com/musik/presiden-jokowi-anugerahi-raja-salman-bintang-adipurna-2872833,13,Musik,Presiden Jokowi Anugerahi Raja Salman Bintang Adipurna
Just For Kids,0,2017/03/01,http://cdn0-a.production.images.static6.com/b0C8iBrd2sQRTjrJved2TuHVMsM=/1280x710/smart/filters:quality(75):strip_icc():format(jpeg)/liputan6-media-production/medias/1519983/original/076555300_1488156357-20170226-Unggul-Tipis-atas-Sriwijaya-FC_-Arema-FC-Melaju-ke-Semifinal-Piala-Presiden-2017-Tebe-11.jpg,http://bola.liputan6.com/read/2872671/bintang-muda-sriwijaya-fc-nikmati-timnas-indonesia-era-luis-milla,161,Liga Indonesia,Bintang Muda Sriwijaya FC Nikmati Timnas Indonesia Era Luis Milla
Just For Kids,8,2017/03/01,http://cdn1-a.production.images.static6.com/uHSbTWY7l7YyMva44UL865f8z10=/1280x710/smart/filters:quality(75):strip_icc():format(jpeg)/liputan6-media-production/medias/544785/big/2-sby-lantik-pamong-130828c.jpg,http://bisnis.liputan6.com/read/2872683/pemerintah-buka-pendaftaran-8-sekolah-kedinasan-ini-daftarnya,70k,Ekonomi,"Pemerintah Buka Pendaftaran 8 Sekolah Kedinasan, Ini Daftarnya"
