adult_popup,comments_count,date,image,link,share_count,tag,title
Just For Kids,0,2017/03/24,http://cdn1-a.production.images.static6.com/B86dwlE5nUOwGXRxExO1H7YDLjk=/1280x710/smart/filters:quality(75):strip_icc():format(jpeg)/liputan6-media-production/medias/1546287/original/055053400_1490339138-GMNI.jpg,http://news.liputan6.com/read/2897774/gmni-minta-pemerintah-kembalikan-kedaulatan-politik-bangsa,14,Politik,GMNI Minta Pemerintah Kembalikan Kedaulatan Politik Bangsa
Just For Kids,0,2017/03/24,http://cdn0-a.production.images.static6.com/TvAa6PdfD7R6QZqALOFNS6ZO-Qs=/1280x710/smart/filters:quality(75):strip_icc():format(jpeg)/liputan6-media-production/medias/1546477/original/097025900_1490346870-000_LA9T4.jpg,http://bola.liputan6.com/read/2898004/motogp-2017-tercepat-di-fp-1-vinales-penasaran-hadapi-gp-qatar,62,Sports,"MotoGP 2017: Tercepat di FP 1, Vinales Penasaran Hadapi GP Qatar"
Just For Kids,0,2017/03/24,http://cdn0-a.production.images.static6.com/hjJUcdP00XUChtiS_mQiHXobDuM=/1280x710/smart/filters:quality(75):strip_icc():format(jpeg)/liputan6-media-production/medias/703954/big/M_Id_379442_workplace_stress.jpg,http://global.liputan6.com/read/2897804/studi-harvard-tampil-sibuk-bikin-anda-dianggap-berstatus-tinggi,123,Sains,Studi Harvard: Tampil Sibuk Bikin Anda Dianggap Berstatus Tinggi
Just For Kids,0,2017/03/24,http://cdn1-a.production.images.static6.com/t5BxJy595Nph2zw37g-ezYhk0MA=/1280x710/smart/filters:quality(75):strip_icc():format(jpeg)/liputan6-media-production/medias/997940/big/000394800_1442975247-haji.jpg,http://tv.liputan6.com/read/2898056/segmen-3-ongkos-naik-haji-naik-hingga-tukang-cat-tergantung,16,Liputan6 Petang,Segmen 3: Ongkos Naik Haji Naik hingga Tukang Cat Tergantung
Just For Kids,0,2017/03/24,http://cdn0-a.production.images.static6.com/FXHaecEjJANv83HUKKOW3t45SE4=/1280x710/smart/filters:quality(75):strip_icc():format(jpeg)/liputan6-media-production/medias/1546627/original/012902500_1490352693-20170324-Underpass-Mampang-Kuningan-Mulai-Dibangun-Fanani-1.jpg,http://photo.liputan6.com/news/solusi-macet-ibu-kota-underpass-mampang-kuningan-mulai-dibangun-2898170,10,News,"Solusi Macet Ibu Kota, Underpass Mampang-Kuningan Mulai Dibangun"
Just For Kids,0,2017/03/24,http://cdn0-a.production.images.static6.com/j21xuGPf4CMj228bfLOkeEx3MOs=/1280x710/smart/filters:quality(75):strip_icc():format(jpeg)/liputan6-media-production/medias/1546142/original/046837300_1490329810-_DSC3359.jpeg,http://bisnis.liputan6.com/read/2898218/top-3-27-maret-tak-libur-ini-jadwal-cuti-bersama-2017,18,Ekonomi,"Top 3: 27 Maret Tak Libur, Ini Jadwal Cuti Bersama 2017"
Just For Kids,0,2017/03/24,http://cdn1-a.production.images.static6.com/GE1ghd-WzE5yn4qNlD4504EWAqE=/1280x710/smart/filters:quality(75):strip_icc():format(jpeg)/liputan6-media-production/medias/1538199/original/046253500_1489623175-040106200_1449637596-20151209-Warga-Gunakan-Hak-Pilih-di-Kampung-Pilkada-Depok-Anton-2.jpg,http://tv.liputan6.com/read/2898046/segmen-2-pilkada-dki-putaran-kedua-hingga-tki-dideportasi,16,Liputan6 Petang,Segmen 2: Pilkada DKI Putaran Kedua hingga TKI Dideportasi
Just For Kids,0,2017/03/24,http://cdn1-a.production.images.static6.com/TPZVZAY2-xBle5eaHjEyfPmp39o=/1280x710/smart/filters:quality(75):strip_icc():format(jpeg)/liputan6-media-production/medias/1074069/original/097399100_1449108662-aurel-kd-ashanty01.jpg,http://showbiz.liputan6.com/read/2898119/ulang-tahun-krisdayanti-dapat-hadiah-ini-dari-anang-dan-ashanty,30.2k,Selebritis,"Ulang Tahun, Krisdayanti Dapat Hadiah Ini dari Anang dan Ashanty"
Just For Kids,1,2017/03/24,http://cdn1-a.production.images.static6.com/d66CWWcNtG8wE87I6e8J5XO_An0=/1280x710/smart/filters:quality(75):strip_icc():format(jpeg)/liputan6-media-production/medias/1530312/original/030402000_1488957741-20170308-Sandiaga-Uno-HF.jpg,http://pilkada.liputan6.com/read/2898159/sandiaga-uno-bentuk-satgas-anti-hoax,19,Pilkada,Sandiaga Uno Bentuk Satgas Anti-Hoax
Just For Kids,0,2017/03/24,http://cdn0-a.production.images.static6.com/XKM6CWX2sH545D1GoFK_x8M_cUw=/1280x710/smart/filters:quality(75):strip_icc():format(jpeg)/liputan6-media-production/medias/662817/big/gantung%20diri.jpg,http://news.liputan6.com/read/2897813/pria-bogor-ditemukan-tergantung-di-plafon-bangunan-kosong,13,Peristiwa,Pria Bogor Ditemukan Tergantung di Plafon Bangunan Kosong
Just For Kids,0,2017/03/24,http://cdn0-a.production.images.static6.com/e05barKnS8bpCH2sYmr2pNP5oLk=/1280x710/smart/filters:quality(75):strip_icc():format(jpeg)/liputan6-media-production/medias/780137/big/039128500_1418492487-Emilio-Audero-Mulyadi-1.jpg,http://bola.liputan6.com/read/2898121/top-10-berita-bola-5-pemain-ini-tolak-timnas-seperti-mulyadi,11,Corner, Top 10 Berita Bola: 5 Pemain Ini Tolak Timnas Seperti Mulyadi
Just For Kids,0,2017/03/24,http://cdn0-a.production.images.static6.com/YHYIws3T85h3wMl88atq7Sqxtko=/1280x710/smart/filters:quality(75):strip_icc():format(jpeg)/liputan6-media-production/medias/929580/big/064009000_1436946515-FOTO_LIPUTAN6.jpg,http://bisnis.liputan6.com/read/2898124/bank-mandiri-tahan-penyaluran-kredit-baru-buat-karyawan-freeport,14,Bank,Bank Mandiri Tahan Penyaluran Kredit Baru Buat Karyawan Freeport
Just For Kids,0,2017/03/24,http://cdn0-a.production.images.static6.com/CPnGr89lTygAdHeNFnisFvtLpGk=/1280x710/smart/filters:quality(75):strip_icc():format(jpeg)/liputan6-media-production/medias/1546644/original/020461500_1490353246-3.jpg,http://news.liputan6.com/read/2898181/taufik-kurniawan-tak-setuju-keterwakilian-parpol-di-kpu,11,Warta DPR,Taufik Kurniawan Tak Setuju Keterwakilian Parpol di KPU
Just For Kids,0,2017/03/24,http://cdn1-a.production.images.static6.com/5geE2WjIlCrMKHBGLJS57Sni5ww=/1280x710/smart/filters:quality(75):strip_icc():format(jpeg)/liputan6-media-production/medias/1535426/original/005499000_1489408058-PA2099437.0008.jpg,http://bola.liputan6.com/read/2897994/motogp-marquez-ogah-fokus-pada-satu-pembalap,1.3k,Sports,MotoGP: Marquez Ogah Fokus pada Satu Pembalap
Just For Kids,0,2017/03/24,http://cdn0-a.production.images.static6.com/zDAo9NWVJI5s8oD-JIb-PHB1lSE=/1280x710/smart/filters:quality(75):strip_icc():format(jpeg)/liputan6-media-production/medias/1546420/original/006429000_1490344168-IMG-20170324-WA0008.jpg,http://news.liputan6.com/read/2897906/saat-jokowi-beri-pengarahan-menteri-di-bawah-atap-bolong-sekolah,16,Peristiwa,Saat Jokowi Beri Pengarahan Menteri di Bawah Atap Bolong Sekolah 
Just For Kids,0,2017/03/24,http://cdn0-a.production.images.static6.com/yYQpnkuyR5eInfW5ipVM_1DfpCY=/1280x710/smart/filters:quality(75):strip_icc():format(jpeg)/liputan6-media-production/medias/1546647/original/064327700_1490353295-Ingin_Pilkada_DKI_Jakarta_Putaran_Kedua_Kondusif__Ahok-Djarot_Himbau_Tak_Ada_Pengerahan_Massa.jpg,http://news.liputan6.com/read/2898184/putaran-kedua-ahok-djarot-himbau-tak-ada-pengerahan-massa,503,News,"Putaran Kedua, Ahok-Djarot Himbau Tak Ada Pengerahan Massa"
Just For Kids,0,2017/03/24,http://cdn0-a.production.images.static6.com/Y2Wpqrvjc5cd9phQWG-bzAmsDmE=/1280x710/smart/filters:quality(75):strip_icc():format(jpeg)/liputan6-media-production/medias/1546311/original/035762400_1490339809-1-92-e1490311599456.jpg,http://citizen6.liputan6.com/read/2897790/penelitian-40-bayi-lahir-dari-ibu-usia-10-tahun-di-filipina,3.8k,Hits,Penelitian: 40 Bayi Lahir dari Ibu Usia 10 Tahun di Filipina
