adult_popup,comments_count,date,image,link,share_count,tag,title
Just For Kids,14,2017/03/22,http://cdn1-a.production.images.static6.com/1fp55_BianbyelHWSKxlJWAaNfw=/1280x710/smart/filters:quality(75):strip_icc():format(jpeg)/liputan6-media-production/medias/1543681/original/062392600_1490158393-hondawin2002.jpg,http://otomotif.liputan6.com/read/2895133/kendaraan-dinas-pemerintah-tempo-dulu-dari-lurah-hingga-menteri,13,Oto News,"Kendaraan Dinas Pemerintah Tempo Dulu, dari Lurah Hingga Menteri"
Just For Kids,6,2017/03/22,http://cdn1-a.production.images.static6.com/f8VVFLJS_TBXKIjnQ1tgXUbwL-M=/1280x710/smart/filters:quality(75):strip_icc():format(jpeg)/liputan6-media-production/medias/1544473/original/043882400_1490185131-20170322-Kevin_Sanjaya-HEL_1.jpg,http://bola.liputan6.com/read/2895825/juara-all-england-2017-kevin-ingin-investasikan-bonus,15,Sports,"Juara All England 2017, Kevin Ingin Investasikan Bonus"
Just For Kids,0,2017/03/22,http://cdn1-a.production.images.static6.com/v708erhnlSiUkEQnmBuOonljsU0=/1280x710/smart/filters:quality(75):strip_icc():format(jpeg)/liputan6-media-production/medias/1535375/original/022802200_1489406370-yyyyyy.jpg,http://lifestyle.liputan6.com/read/2884991/sisir-ini-punya-dua-fungsi-yang-bikin-anda-kagum,64,Fashion & Beauty,Sisir Ini Punya Dua Fungsi yang Bikin Anda Kagum
Just For Kids,1,2017/03/22,http://cdn0-a.production.images.static6.com/zBAEnnmj1flVr4sBYj5kXSebgcA=/1280x710/smart/filters:quality(75):strip_icc():format(jpeg)/liputan6-media-production/medias/1543578/original/034902000_1490152599-_DSC3359.jpeg,http://bisnis.liputan6.com/read/2894998/punya-nama-mirip-diktator-pria-ini-susah-cari-kerja,1.9k,Ekonomi,"Punya Nama Mirip Diktator, Pria Ini Susah Cari Kerja"
Just For Kids,0,2017/03/22,http://cdn1-a.production.images.static6.com/Pp7H9hh1mDqbxCnNNZxh0tmnllA=/1280x710/smart/filters:quality(75):strip_icc():format(jpeg)/liputan6-media-production/medias/1543728/original/053483900_1490159857-17439350_173022153210848_7665249930130227200_n.jpg,http://showbiz.liputan6.com/read/2895167/cerita-melody-prima-alami-kontraksi-selama-12-jam,17,Selebritis,"Cerita Melody Prima, Alami Kontraksi Selama 12 Jam"
Just For Kids,0,2017/03/22,http://cdn1-a.production.images.static6.com/bRIL_IXGSgPwd0DD84WME8vA6qA=/1280x710/smart/filters:quality(75):strip_icc():format(jpeg)/liputan6-media-production/medias/1536426/original/050208800_1489482999-motor_diperbaiki.jpg,http://otomotif.liputan6.com/read/2895643/top3-berita-hari-ini-bodi-goyang-dan-simulasi-kredit-mobil-murah,13,Otomotif,Top3 Berita Hari Ini: Bodi Goyang dan Simulasi Kredit Mobil Murah
Just For Kids,0,2017/03/22,http://cdn0-a.production.images.static6.com/KbAA9Fs9BpxhKV53ZpU8Novc5Ss=/1280x710/smart/filters:quality(75):strip_icc():format(jpeg)/liputan6-media-production/medias/1405697/original/046598700_1479175687-2016-11-11T214045Z_121902045_MT1ACI14668191_RTRMADP_3_SOCCER-WORLDCUP-ENG-SCO.JPG,http://bola.liputan6.com/read/2895784/terpinggirkan-dari-timnas-inggris-rooney-di-ujung-tanduk,14,Liga Internasional,"Terpinggirkan dari Timnas Inggris, Rooney di Ujung Tanduk"
Just For Kids,1,2017/03/22,http://cdn1-a.production.images.static6.com/x6CuFAKeGf0UKBJHZ9LqzFHp678=/1280x710/smart/filters:quality(75):strip_icc():format(jpeg)/liputan6-media-production/medias/1428148/original/010955700_1481025208-tunangan.jpg,http://global.liputan6.com/read/2895554/sewa-900-taksi-perempuan-china-lamar-kekasihnya,54,Internasional,"Sewa 900 Taksi, Perempuan China Lamar Kekasihnya"
Just For Kids,0,2017/03/22,http://cdn0-a.production.images.static6.com/Ny1JrGgOq6ND4ymbDYVz_KaIpcg=/1280x710/smart/filters:quality(75):strip_icc():format(jpeg)/liputan6-media-production/medias/1202207/original/083304100_1460552561-20160413--Tarif-Listrik-untuk-Rumah-Tangga-akan-Naik-Jakarta--Angga-Yuniar-02.jpg,http://bisnis.liputan6.com/read/2895789/pln-kalbar-siap-penuhi-kebutuhan-listrik-perumahan,37,Ekonomi,PLN Kalbar Siap Penuhi Kebutuhan Listrik Perumahan
Just For Kids,1,2017/03/22,http://cdn1-a.production.images.static6.com/7bwMPqO9cYQb_ZJ-capSyXnBdGU=/1280x710/smart/filters:quality(75):strip_icc():format(jpeg)/liputan6-media-production/medias/1543948/original/073278600_1490168040-Rain_dan_Kim_Tae_Hee.jpg,http://showbiz.liputan6.com/read/2895415/kim-tae-hee-dan-rain-pamer-foto-mesra-isu-hamil-menyeruak,15,K-Pop,"Kim Tae Hee dan Rain Pamer Foto Mesra, Isu Hamil Menyeruak"
