adult_popup,comments_count,date,image,link,share_count,tag,title
Just For Kids,0,2017/03/21,http://cdn0-a.production.images.static6.com/3F9jhxguuZdsVW9_VNSHQfgL7NI=/1280x710/smart/filters:quality(75):strip_icc():format(jpeg)/liputan6-media-production/medias/717024/big/so_7.jpg,http://showbiz.liputan6.com/read/2894223/pose-bareng-sophia-latjuba-eva-celia-dianggap-kembar,1.4k,Selebritis,"Pose Bareng, Sophia Latjuba - Eva Celia Dianggap Kembar"
Just For Kids,7,2017/03/21,http://cdn0-a.production.images.static6.com/3_pwdlKI39IGr7MSmBkpNyYmd58=/1280x710/smart/filters:quality(75):strip_icc():format(jpeg)/liputan6-media-production/medias/1514308/original/093689400_1487664339-20170221-Sidang-Ahok-ke-11-Pool-2.jpg,http://news.liputan6.com/read/2894564/ahok-datangkan-ahli-dari-mui-ini-reaksi-jaksa,14,Peristiwa,"Ahok Datangkan Ahli dari MUI, Ini Reaksi Jaksa"
Just For Kids,0,2017/03/21,http://cdn1-a.production.images.static6.com/gE76CpagqgvNn6b_Mcuub4JWTls=/1280x710/smart/filters:quality(75):strip_icc():format(jpeg)/liputan6-media-production/medias/957673/big/050366100_1439784942-ri-1.jpg,http://news.liputan6.com/read/2894552/istana-1-mobil-dinas-jokowi-dipinjamkan-ke-sby,12,Peristiwa,Istana: 1 Mobil Dinas Jokowi Dipinjamkan ke SBY
Just For Kids,0,2017/03/21,http://cdn0-a.production.images.static6.com/wPs1q9SwFRL38lrZV6OUZFGUosE=/1280x710/smart/filters:quality(75):strip_icc():format(jpeg)/liputan6-media-production/medias/1543128/original/067661300_1490095502-20170321-Indonesia_vs_Myanmar-HEL_2.jpg,http://bola.liputan6.com/read/2894468/bek-persib-sikapi-kekalahan-timnas-indonesia,18,Liga Indonesia,Bek Persib Sikapi Kekalahan Timnas Indonesia
Just For Kids,0,2017/03/21,http://cdn0-a.production.images.static6.com/oOHOCoUOB4LCwnrCSYDSzY5CvzM=/1280x710/smart/filters:quality(75):strip_icc():format(jpeg)/liputan6-media-production/medias/1543019/original/050454100_1490089914-web_funnel_spider.jpg,http://global.liputan6.com/read/2894300/bisa-laba-laba-ini-dapat-cegah-kerusakan-otak-akibat-stroke,90,Sains,Bisa Laba-Laba Ini Dapat Cegah Kerusakan Otak Akibat Stroke   
Just For Kids,0,2017/03/21,http://cdn1-a.production.images.static6.com/Es8pApdbnwRy64g84fiVOYO72W0=/1280x710/smart/filters:quality(75):strip_icc():format(jpeg)/liputan6-media-production/medias/1514326/original/040718400_1487664602-RH_EDT_2102_Warna-Sperma-Berubah-Kapan-Harus-Waspada.jpg,http://health.liputan6.com/read/2894436/pria-ingin-jadi-ayah-ketahui-soal-kesuburan-sperma-ini,16,Health Info,"Pria Ingin Jadi Ayah, Ketahui Soal Kesuburan Sperma Ini"
Just For Kids,0,2017/03/21,http://cdn0-a.production.images.static6.com/4IpvUobWe8x4kVn5cf1BpJy6Sjs=/1280x710/smart/filters:quality(75):strip_icc():format(jpeg)/liputan6-media-production/medias/1384872/original/079837600_1477396936-20161025-Tol-Laut-IA6.jpg,http://bisnis.liputan6.com/read/2894519/benahi-logistik-pemerintah-siapkan-paket-kebijakan-ekonomi-xv,19,Ekonomi,"Benahi Logistik, Pemerintah Siapkan Paket Kebijakan Ekonomi XV"
Just For Kids,0,2017/03/21,http://cdn1-a.production.images.static6.com/hpR2rqcNstpQ96_S6Ab5agDS7Xo=/1280x710/smart/filters:quality(75):strip_icc():format(jpeg)/liputan6-media-production/medias/1538700/original/074140300_1489650539-Pernikahan-Golongan-Darah-Sejenis-Tak-Pengaruhi-Keturunan-.jpg,http://lifestyle.liputan6.com/read/2890242/pernikahan-dipersiapkan-dengan-rahasia-yuk-intip-serunya,12,Style News,"Pernikahan Dipersiapkan dengan Rahasia, Yuk Intip Serunya"
Just For Kids,0,2017/03/21,http://cdn0-a.production.images.static6.com/he3l9rD9owBEV66m34z0f8s9xzs=/1280x710/smart/filters:quality(75):strip_icc():format(jpeg)/liputan6-media-production/medias/1542793/original/077654200_1490081036-Kyuhyun.jpg,http://showbiz.liputan6.com/read/2894038/kyuhyun-super-junior-iri-lihat-popularitas-exo,144,K-Pop,Kyuhyun Super Junior Iri Lihat Popularitas EXO?
Just For Kids,0,2017/03/21,http://cdn1-a.production.images.static6.com/ZNaF5-aV1T9IAysRDqLyoYRuhjs=/1280x710/smart/filters:quality(75):strip_icc():format(jpeg)/liputan6-media-production/medias/1543294/original/047990400_1490101793-IMG_20170321_191845930.jpg,http://news.liputan6.com/read/2894540/ratusan-sopir-angkot-blokir-jalan-di-bekasi,22,Peristiwa,Ratusan Sopir Angkot Blokir Jalan di Bekasi
