adult_popup,comments_count,date,image,link,share_count,tag,title
Just For Kids,0,2017/03/14,http://cdn0-a.production.images.static6.com/gAp-pz5NDzEdtsb8QjEBgFd2xyo=/1280x710/smart/filters:quality(75):strip_icc():format(jpeg)/liputan6-media-production/medias/1536470/original/084479300_1489484218-20170314-Super-Junior-HZ1.jpg,http://photo.liputan6.com/showbiz/super-junior-akan-gelar-konser-leeteuk-undang-jokowi-untuk-hadir-2886267,17,Showbiz,"Super Junior Akan Gelar Konser, Leeteuk Undang Jokowi untuk Hadir"
Just For Kids,0,2017/03/14,http://cdn1-a.production.images.static6.com/rA5x35yCCTvBPrhvRrHprPjQlcg=/1280x710/smart/filters:quality(75):strip_icc():format(jpeg)/liputan6-media-production/medias/913966/big/090817700_1435636583-film-6.jpg,http://showbiz.liputan6.com/read/2885768/pemotretan-kehamilan-atiqah-hasiholan-rio-dewanto-telanjang-dada,18,Selebritis,"Pemotretan Kehamilan Atiqah Hasiholan, Rio Dewanto Telanjang Dada"
Just For Kids,0,2017/03/14,http://cdn1-a.production.images.static6.com/dIoY5WLLrgJP7xRkWz9Rd4Kxln4=/1280x710/smart/filters:quality(75):strip_icc():format(jpeg)/liputan6-media-production/medias/1534869/original/047284900_1489384289--2113992-1489081590.640x0c.jpg,http://lifestyle.liputan6.com/read/2884389/harus-minum-kopi-tiap-hari-ini-yang-terjadi-pada-otak-anda,3.2k,Culinary,Harus Minum Kopi Tiap Hari? Ini yang Terjadi pada Otak Anda
Just For Kids,0,2017/03/14,http://cdn0-a.production.images.static6.com/GEbyKEM6gcDRGd6y0BBLo-vJsR0=/1280x710/smart/filters:quality(75):strip_icc():format(jpeg)/liputan6-media-production/medias/1034914/original/017396100_1445955517-20151027--Hary-Tanoesoedibjo-Jakarta-03.jpg,http://pilkada.liputan6.com/read/2886300/prabowo-hadiri-deklarasi-perindo-dukung-anies-sandi,10,Pilkada,Prabowo Hadiri Deklarasi Perindo Dukung Anies-Sandi
Just For Kids,0,2017/03/14,http://cdn0-a.production.images.static6.com/y6yNWYEq-DLy4Gy5nBI4cgsVM_w=/1280x710/smart/filters:quality(75):strip_icc():format(jpeg)/liputan6-media-production/medias/1246973/original/092035800_1464342197-20150527-Menteri-Susi-Beberkan-Upaya-Penyelamatan-Hiu-Paus-HEL1.jpg,http://bisnis.liputan6.com/read/2886151/susi-minta-sri-mulyani-lacak-pengusaha-perikanan-yang-curang,20,Ekonomi,Susi Minta Sri Mulyani Lacak Pengusaha Perikanan yang Curang
Just For Kids,4,2017/03/14,http://cdn0-a.production.images.static6.com/vL0z2e_hKPa_5TdsN_JbdXowc34=/1280x710/smart/filters:quality(75):strip_icc():format(jpeg)/liputan6-media-production/medias/1536477/original/001295000_1489484345-edward2.JPG,http://news.liputan6.com/read/2886270/ahli-hukum-pasal-alternatif-untuk-ahok-pertanda-jaksa-ragu,10,Peristiwa,Ahli Hukum: Pasal Alternatif untuk Ahok Pertanda Jaksa Ragu 
Just For Kids,0,2017/03/14,http://cdn1-a.production.images.static6.com/N-ADrYNHAzAGKktyHALmNp59wyg=/1280x710/smart/filters:quality(75):strip_icc():format(jpeg)/liputan6-media-production/medias/1536479/original/017074900_1489484534-Rapat-Pleno-Partai-Golkar-Bahas-e-KTP1.jpg,http://photo.liputan6.com/news/rapat-pleno-partai-golkar-bahas-e-ktp-2886273,13,News,Rapat Pleno Partai Golkar Bahas e-KTP
Just For Kids,0,2017/03/14,http://cdn0-a.production.images.static6.com/p7x8hCjWs3uEVo5whxP8fdlNZZQ=/1280x710/smart/filters:quality(75):strip_icc():format(jpeg)/liputan6-media-production/medias/1535963/original/072758600_1489467122-IMG_20170314_111453_1.jpg,http://bola.liputan6.com/read/2886067/michael-essien-ingin-pemain-top-lain-menyusul-ke-indonesia,13.3k,Liga Indonesia,Michael Essien Ingin Pemain Top Lain Menyusul ke Indonesia
Just For Kids,0,2017/03/14,http://cdn1-a.production.images.static6.com/I3_hUJMBdzpHOSEFyrvG2hcx9i4=/1280x710/smart/filters:quality(75):strip_icc():format(jpeg)/liputan6-media-production/medias/1535297/original/006442400_1489402585-RANBIR-SANJAY-DUTT-MERGE.jpg,http://showbiz.liputan6.com/read/2884866/totalitas-dalami-peran-ranbir-kapoor-makin-mirip-sanjay-dutt,16,Bollywood,"Totalitas Dalami Peran, Ranbir Kapoor Makin Mirip Sanjay Dutt"
Just For Kids,2,2017/03/14,http://cdn0-a.production.images.static6.com/1lOzOVUaSk_r5Re-8WiJPF_Nav4=/1280x710/smart/filters:quality(75):strip_icc():format(jpeg)/liputan6-media-production/medias/1536394/original/072060600_1489482183-essien_djadjang_jat.jpg,http://tekno.liputan6.com/read/2886246/kepindahan-michael-essien-ke-persib-sedot-perhatian-netizen,2.7k,Internet,Kepindahan Michael Essien ke Persib Sedot Perhatian Netizen
Just For Kids,46,2017/03/14,http://cdn1-a.production.images.static6.com/29TaET0LPfqeS5vzWrnv7OKkn3w=/1280x710/smart/filters:quality(75):strip_icc():format(jpeg)/liputan6-media-production/medias/1416493/original/054316000_1480043364-007908400_1479282982-20161116-Gus-Mus1.jpg,http://news.liputan6.com/read/2886241/gus-mus-berani-sekali-allah-disuruh-urus-pilkada,33.3k,Peristiwa,"Gus Mus: Berani Sekali, Allah Disuruh Urus Pilkada "
Just For Kids,0,2017/03/14,http://cdn1-a.production.images.static6.com/RKJQ6_TXu_1UO90iSyr9fS3fn30=/1280x710/smart/filters:quality(75):strip_icc():format(jpeg)/liputan6-media-production/medias/1536100/original/082402300_1489471508-Terumbu_Karang.jpg,http://bisnis.liputan6.com/read/2886147/pemerintah-minta-ganti-rugi-perusak-terumbu-karang-di-raja-ampat,31,Ekonomi,Pemerintah Minta Ganti Rugi Perusak Terumbu Karang di Raja Ampat
Just For Kids,0,2017/03/14,http://cdn1-a.production.images.static6.com/iJgtHdytkcArk4kdItm2oBIMujo=/1280x710/smart/filters:quality(75):strip_icc():format(jpeg)/liputan6-media-production/medias/1536217/original/057227500_1489474928-20170314-sosialisasi-antisipasi_perkawinan_anak-brebes.jpg,http://regional.liputan6.com/read/2886080/tertinggi-di-jateng-brebes-sosialisasi-bahaya-pernikahan-dini,10,Semarang,"Tertinggi di Jateng, Brebes Sosialisasi Bahaya Pernikahan Dini"
