adult_popup,comments_count,date,image,link,share_count,tag,title
Just For Kids,1,2017/03/13,http://cdn1-a.production.images.static6.com/OYCZbcbqIyMF27V-ZI2vLJTwy6I=/1280x710/smart/filters:quality(75):strip_icc():format(jpeg)/liputan6-media-production/medias/1029224/original/067103900_1445496898-ektp.png,http://news.liputan6.com/read/2884903/komisi-ii-dpr-pastikan-pengadaan-e-ktp-terus-jalan,87,Peristiwa,Komisi II DPR Pastikan Pengadaan E-KTP Terus Jalan
Just For Kids,0,2017/03/13,http://cdn0-a.production.images.static6.com/L-pb6hOXIhIvDv_4E7PL_h4KzE8=/1280x710/smart/filters:quality(75):strip_icc():format(jpeg)/liputan6-media-production/medias/1529893/original/075833400_1488945238-16464602_1162351453863381_4836247335526727680_n.jpg,http://showbiz.liputan6.com/read/2884434/tegangnya-anak-andien-saat-berenang,14,Selebritis,Tegangnya Anak Andien Saat Berenang
Just For Kids,0,2017/03/13,http://cdn0-a.production.images.static6.com/MmuONyqlt4_Z0A1BF0zW8lRmgWs=/1280x710/smart/filters:quality(75):strip_icc():format(jpeg)/liputan6-media-production/medias/1534706/original/054058800_1489379323-Chris_Smalling__AFP_-_Paul_Ellis_.jpg,http://bola.liputan6.com/read/2884683/chelsea-vs-mu-smalling-siap-tuntaskan-dendam,22,Liga Inggris,Chelsea Vs MU: Smalling Siap Tuntaskan Dendam
Just For Kids,0,2017/03/13,http://cdn1-a.production.images.static6.com/F7IMFKBABrbbZ_fBE0Hw_PsJxNA=/1280x710/smart/filters:quality(75):strip_icc():format(jpeg)/liputan6-media-production/medias/1534685/original/006075400_1489378604-kuning_telur.jpg,http://health.liputan6.com/read/2884202/ramuan-rumahan-ini-ampuh-kencangkan-payudara,4.1k,Health Info,Ramuan Rumahan Ini Ampuh Kencangkan Payudara
Just For Kids,0,2017/03/13,http://cdn1-a.production.images.static6.com/tfburMMTq_6CDeSdKVzQM8khOzI=/1280x710/smart/filters:quality(75):strip_icc():format(jpeg)/liputan6-media-production/medias/1422701/original/056496100_1480577734-WhatsApp_Image_2016-12-01_at_14.17.31.jpeg,http://news.liputan6.com/read/2884747/satpol-pp-turunkan-206-spanduk-provokatif-di-dki,160,Peristiwa,Satpol PP Turunkan 206 Spanduk Provokatif di DKI
Just For Kids,0,2017/03/13,http://cdn0-a.production.images.static6.com/0RpzfM8WHdQ8SpWwAG63V6gVls8=/1280x710/smart/filters:quality(75):strip_icc():format(jpeg)/liputan6-media-production/medias/1532705/original/069286300_1489126871-FullSizeRender__18_.jpg,http://lifestyle.liputan6.com/read/2881487/belajar-atur-prioritas-dari-blogger-nyentrik-diana-rikasari,17,Lifestyle,Belajar Atur Prioritas dari Blogger Nyentrik Diana Rikasari
Just For Kids,0,2017/03/13,http://cdn1-a.production.images.static6.com/rfjCmXR0NR3xSZdSFs7GPz9hW7g=/1280x710/smart/filters:quality(75):strip_icc():format(jpeg)/liputan6-media-production/medias/1534870/original/059188400_1489384301-FB_IMG_1489317469684.jpg,http://regional.liputan6.com/read/2884390/ritual-royong-dari-bugis-dan-makassar-bikin-anak-anak-terlelap,10,Makassar,Ritual Royong dari Bugis dan Makassar Bikin Anak-Anak Terlelap
Just For Kids,0,2017/03/13,http://cdn0-a.production.images.static6.com/8We45DHQTpPELKqIL5oqL55xxqg=/1280x710/smart/filters:quality(75):strip_icc():format(jpeg)/liputan6-media-production/medias/1535116/original/045320000_1489393494-Lamborghini_Huracan.jpg,http://otomotif.liputan6.com/read/2884659/era-mobil-listrik-lamborghini-listrik-siap-meluncur-2025,19,Mobil,"Era Mobil Listrik, Lamborghini Listrik Siap Meluncur 2025"
Just For Kids,19,2017/03/13,http://cdn0-a.production.images.static6.com/dyk6r93PVJC5xa-1o7EyZv6zeBA=/1280x710/smart/filters:quality(75):strip_icc():format(jpeg)/liputan6-media-production/medias/1535177/original/072550900_1489395940-Satudarah-MC-Gengmotor-Ciptaan-Orang-Indonesia-yang-Ditakuti-Banyak-Negara-di-Eropa-cover.jpg,http://citizen6.liputan6.com/read/2884728/geng-motor-dengan-nama-dari-indonesia-paling-ditakuti-di-eropa,19.1k,Hits,Geng Motor dengan Nama dari Indonesia Paling Ditakuti di Eropa
Just For Kids,1,2017/03/13,http://cdn0-a.production.images.static6.com/dw57ZhmrKd2Dxls4SiGhBfsz6io=/1280x710/smart/filters:quality(75):strip_icc():format(jpeg)/liputan6-media-production/medias/1313386/original/094134100_1470825390-20160810-KRL-AY-3.jpg,http://bisnis.liputan6.com/read/2884836/krl-bakal-sampai-rangkasbitung-pada-akhir-bulan-ini,112,Ekonomi,KRL Bakal Sampai Rangkasbitung pada Akhir Bulan Ini
