adult_popup,comments_count,date,image,link,share_count,tag,title
Just For Kids,0,2017/03/09,http://cdn0-a.production.images.static6.com/w5Bp3v-a06RWHBYDLaKZ0cOQXI8=/1280x710/smart/filters:quality(75):strip_icc():format(jpeg)/liputan6-media-production/medias/1340874/original/098451800_1473328665-susu_kunyit.jpg,http://health.liputan6.com/read/2880556/4-obat-rumahan-ini-bisa-kurangi-rasa-sakit-karena-kanker,16,Health Info,4 Obat Rumahan Ini Bisa Kurangi Rasa Sakit karena Kanker
Just For Kids,0,2017/03/09,http://cdn0-a.production.images.static6.com/VH-rIYRyJtX6X23KXXPDedndHLk=/1280x710/smart/filters:quality(75):strip_icc():format(jpeg)/liputan6-media-production/medias/1530852/original/021626600_1488976884-alessia_cestaro.jpg,http://showbiz.liputan6.com/read/2879985/alessia-cestaro-hamil-suami-yang-ngidam,15,Selebritis,"Alessia Cestaro Hamil, Suami yang Ngidam"
Just For Kids,0,2017/03/09,http://cdn0-a.production.images.static6.com/Zh8rdfXnM8dczdFc0NofAgXJ_VQ=/1280x710/smart/filters:quality(75):strip_icc():format(jpeg)/liputan6-media-production/medias/1529066/original/083654300_1488872700-highly-sensitive-people.jpg,http://lifestyle.liputan6.com/read/2878438/hati-hati-ini-5-zodiak-yang-paling-sensitif,3.3k,Life,"Hati-Hati, Ini 5 Zodiak yang Paling Sensitif"
Just For Kids,0,2017/03/09,http://cdn1-a.production.images.static6.com/BfCx3JM7a4tem24fI5jpQbNTdB0=/1280x710/smart/filters:quality(75):strip_icc():format(jpeg)/liputan6-media-production/medias/1489941/original/023565600_1485618059-pandawa2.jpg,http://news.liputan6.com/read/2880742/tersangka-investasi-bodong-koperasi-pandawa-terus-bertambah,12,Peristiwa,Tersangka Investasi Bodong Koperasi Pandawa Terus Bertambah
Just For Kids,0,2017/03/09,http://cdn1-a.production.images.static6.com/4XVVnTOykQs9cJ-pR-8zak-_r6Y=/1280x710/smart/filters:quality(75):strip_icc():format(jpeg)/liputan6-media-production/medias/1471133/original/049717200_1484290094-Morgan-Schneiderlin-Everton-577878.jpg,http://bola.liputan6.com/read/2880849/tinggalkan-manchester-united-schneiderlin-fokus-ke-everton,32,Liga Inggris,"Tinggalkan Manchester United, Schneiderlin Fokus ke Everton"
Just For Kids,0,2017/03/09,http://cdn0-a.production.images.static6.com/Vb5-Dtn1FZoUy_F71-El1DbCCzg=/1280x710/smart/filters:quality(75):strip_icc():format(jpeg)/liputan6-media-production/medias/975619/big/093072200_1441246926-kebun-1.jpg,http://bisnis.liputan6.com/read/2880773/industri-kelapa-sawit-serap-kredit-bank-mandiri-rp-50-triliun,13,Ekonomi,Industri Kelapa Sawit Serap Kredit Bank Mandiri Rp 50 Triliun
Just For Kids,2,2017/03/09,http://cdn0-a.production.images.static6.com/fBw17r53k-17UmNPlgW6M1_IEl4=/1280x710/smart/filters:quality(75):strip_icc():format(jpeg)/liputan6-media-production/medias/1531615/original/084295400_1489047140-20170309-Jokowi-Bertemu-SBY-di-Istana-Angga-5.jpg,http://news.liputan6.com/read/2880772/sby-tak-ada-lagi-mis-komunikasi-setelah-bertemu-jokowi,440,Peristiwa,SBY: Tak Ada Lagi Mis-Komunikasi Setelah Bertemu Jokowi
Just For Kids,0,2017/03/09,http://cdn0-a.production.images.static6.com/31Uit-VSJ3whvloEGZBJs0rOWlE=/1280x710/smart/filters:quality(75):strip_icc():format(jpeg)/liputan6-media-production/medias/1069986/original/035261300_1448772698-banjir_sumbar.jpg,http://regional.liputan6.com/read/2880789/banjir-riau-meluas-seorang-warga-tewas-terseret-arus-sungai,19,Palembang,"Banjir Riau Meluas, Seorang Warga Tewas Terseret Arus Sungai"
Just For Kids,0,2017/03/09,http://cdn1-a.production.images.static6.com/ITd6FO2WtZcpRH4mlkglZHQ0FtU=/1280x710/smart/filters:quality(75):strip_icc():format(jpeg)/liputan6-media-production/medias/1490137/original/040427600_1485666668-15802795_693494464157385_1914609632152649728_n.jpg,http://showbiz.liputan6.com/read/2879927/suami-tak-romantis-titi-rajo-bintang-malah-tambah-sayang,3.5k,Selebritis,"Suami Tak Romantis, Titi Rajo Bintang Malah Tambah Sayang"
Just For Kids,0,2017/03/09,http://cdn1-a.production.images.static6.com/Pvm-z1pfGQZrfY8Kj_mYd3kU9PY=/1280x710/smart/filters:quality(75):strip_icc():format(jpeg)/liputan6-media-production/medias/1531809/original/013433600_1489052969-bandung-timur.original.jpg,http://properti.liputan6.com/read/2880852/potensi-pertumbuhan-bandung-timur-kian-subur,12,Properti,Potensi Pertumbuhan Bandung Timur Kian Subur
