adult_popup,comments_count,date,image,link,share_count,tag,title
Just For Kids,0,2017/03/20,http://cdn0-a.production.images.static6.com/Y6uYFLr044R8yTQHEiNeS_BZS_c=/1280x710/smart/filters:quality(75):strip_icc():format(jpeg)/liputan6-media-production/medias/1510658/original/004303300_1487343750-raffi_ahmad-5.jpg,http://showbiz.liputan6.com/read/2893173/rafathar-nangis-digendong-raffi-ahmad-ada-apa,13,Selebritis,"Rafathar Nangis Digendong Raffi Ahmad, Ada Apa? "
Just For Kids,0,2017/03/20,http://cdn0-a.production.images.static6.com/tByFoe4LS_bZm0OaUoqtLfh2eZY=/1280x710/smart/filters:quality(75):strip_icc():format(jpeg)/liputan6-media-production/medias/1539608/original/008446700_1489724642-041718700_1432801472-Queen-Elizabeth-II.jpg,http://lifestyle.liputan6.com/read/2889685/intip-rutinitas-malam-ratu-elizabeth-ii-sebelum-tidur,15,Culinary,Intip Rutinitas Malam Ratu Elizabeth II Sebelum Tidur
Just For Kids,0,2017/03/20,http://cdn0-a.production.images.static6.com/EbrWtPh6S1_R6RKQrPKkDqo0W8U=/1280x710/smart/filters:quality(75):strip_icc():format(jpeg)/liputan6-media-production/medias/1482679/original/025554600_1485318909-Penembakan6.jpg,http://news.liputan6.com/read/2893327/polisi-sebut-1-penembak-di-aceh-timur-masih-buron,17,Peristiwa,Polisi Sebut 1 Penembak di Aceh Timur Masih Buron
Just For Kids,0,2017/03/20,http://cdn1-a.production.images.static6.com/77zem83xzP2vmvzRgyJCUZMTSkQ=/1280x710/smart/filters:quality(75):strip_icc():format(jpeg)/liputan6-media-production/medias/1467871/original/025877100_1484093476-_20170111AP_Mu_vs_Hull_City_03.jpg,http://bola.liputan6.com/read/2893297/mourinho-alergi-pemain-muda-masa-depan-rashford-diragukan,17,Liga Inggris,"Mourinho Alergi Pemain Muda, Masa Depan Rashford Diragukan"
Just For Kids,1,2017/03/20,http://cdn0-a.production.images.static6.com/JcXyjfHCotkUw3TdIK9PClEa-cU=/1280x710/smart/filters:quality(75):strip_icc():format(jpeg)/liputan6-media-production/medias/1190870/original/052388200_1459669777-Ayu_Ting_Ting.jpg,http://showbiz.liputan6.com/read/2893283/jika-palsukan-identitas-anak-ayu-ting-ting-terancam-dipolisikan,2.7k,Selebritis,"Jika Palsukan Identitas Anak, Ayu Ting Ting Terancam Dipolisikan‎"
Just For Kids,0,2017/03/20,http://cdn1-a.production.images.static6.com/4sTNBAhzkG75l2G4hy957EAbTY8=/1280x710/smart/filters:quality(75):strip_icc():format(jpeg)/liputan6-media-production/medias/1053721/original/036934900_1447401141-20151113-Ilustrasi-Investasi-2.jpg,http://bisnis.liputan6.com/read/2893295/kemenkeu-jual-sukri-009-rp-14-triliun,15,Ekonomi,Kemenkeu Jual Sukri 009 Rp 14 Triliun
Just For Kids,0,2017/03/20,http://cdn1-a.production.images.static6.com/J05GLNdQMoSE22dVlCX9R2y9oBQ=/1280x710/smart/filters:quality(75):strip_icc():format(jpeg)/liputan6-media-production/medias/1330017/original/091754700_1472295231-homework.jpg,http://health.liputan6.com/read/2893307/anak-dapat-pr-sekolah-seabrek-bisa-berdampak-buruk-bagi-keluarga,17,Mom & Kids,"Anak Dapat PR Sekolah Seabrek, Bisa Berdampak Buruk Bagi Keluarga"
Just For Kids,0,2017/03/20,http://cdn1-a.production.images.static6.com/zAX_1uEqTo3RB0Y4FzxUIOU4lCI=/1280x710/smart/filters:quality(75):strip_icc():format(jpeg)/liputan6-media-production/medias/1411445/original/045275100_1479699705-20161121-Liga-Italia-AC-Milan-Inter-Milan-AFP-Reuters6.jpg,http://bola.liputan6.com/read/2893180/bintang-ac-milan-diincar-klub-elite-liga-inggris,28,Liga Italia,Bintang AC Milan Diincar Klub Elite Liga Inggris
Just For Kids,5,2017/03/20,http://cdn1-a.production.images.static6.com/5Ca_tJylHqC0YvDsayJN2K3yGdQ=/1280x710/smart/filters:quality(75):strip_icc():format(jpeg)/liputan6-media-production/medias/1434618/original/052305900_1481685758-20161213-Dua-Perempuan-Yazidi-Terima-Hadiah-Sakharov-Reuters-3.jpg,http://global.liputan6.com/read/2893344/korban-perbudakan-seksual-tuntut-isis-diseret-ke-pengadilan,162,Internasional,Korban Perbudakan Seksual Tuntut ISIS Diseret ke Pengadilan
Just For Kids,1,2017/03/20,http://cdn0-a.production.images.static6.com/V4CUoJurkNqK85MskwZOPfnVndk=/1280x710/smart/filters:quality(75):strip_icc():format(jpeg)/liputan6-media-production/medias/1538734/original/087189900_1489651581-kapal.jpg,http://bisnis.liputan6.com/read/2893314/kerusakan-karang-di-raja-ampat-jadi-evaluasi-pemerintah-ri,20,Ekonomi,Kerusakan Karang di Raja Ampat Jadi Evaluasi Pemerintah RI
