adult_popup,comments_count,date,image,link,share_count,tag,title
Just For Kids,6,2017/03/29,http://cdn1-a.production.images.static6.com/Ay8G3-BkpviFeXRGGtA-KWMC-tY=/1280x710/smart/filters:quality(75):strip_icc():format(jpeg)/liputan6-media-production/medias/1550853/original/050321800_1490790585-20170329-Mati_Ketawa.jpg,http://global.liputan6.com/read/2903535/kisah-nyata-orang-yang-mati-karena-tertawa,1.9k,Histori,Kisah Nyata Orang yang Mati Karena Tertawa
Just For Kids,1,2017/03/29,http://cdn0-a.production.images.static6.com/FsgjqAZG2ewO118L7hjGnj9_iJM=/1280x710/smart/filters:quality(75):strip_icc():format(jpeg)/liputan6-media-production/medias/1098891/original/082059000_1451552180-nikita_mirzani-25.jpg,http://showbiz.liputan6.com/read/2903429/nikita-mirzani-peluk-mesra-mantan-suami-tata-janeeta-ada-apa,19,Selebritis,"Nikita Mirzani Peluk Mesra Mantan Suami Tata Janeeta, Ada Apa?"
Just For Kids,0,2017/03/29,http://cdn1-a.production.images.static6.com/dIjtZZHeEl0uREoNkecZbnC-Dug=/1280x710/smart/filters:quality(75):strip_icc():format(jpeg)/liputan6-media-production/medias/1187570/original/095708100_1459353088-20160330--PLTP-Lahendong--Sulawesi-Utara--Faizal-Fanani-01.jpg,http://bisnis.liputan6.com/read/2903392/pln-teken-10-perjanjian-pengembangan-energi-baru-terbarukan,433,Energi & Tambang,PLN Teken 10 Perjanjian Pengembangan Energi Baru Terbarukan
Just For Kids,0,2017/03/29,http://cdn1-a.production.images.static6.com/nsKNKyWM94qoYZmFM476NoLdCCQ=/1280x710/smart/filters:quality(75):strip_icc():format(jpeg)/liputan6-media-production/medias/1235705/original/046901000_1463465431-20160517-Uji-Emisi-Kendaraan-Bermotor-Jakarta-GMS4.jpg,http://news.liputan6.com/read/2903366/200-kendaraan-operasional-dinas-lingkungan-hidup-dki-diuji-emisi,16,Peristiwa,200 Kendaraan Operasional Dinas Lingkungan Hidup DKI Diuji Emisi
21 Tahun,0,2017/03/29,http://cdn1-a.production.images.static6.com/j1dw-zq7-Ic6wk9z_Wf1pZo3jT8=/1280x710/smart/filters:quality(75):strip_icc():format(jpeg)/liputan6-media-production/medias/1458915/original/057724100_1483459760-Kehidupan-Seks-Tetap-Terjaga-Bagaimana-caranya.jpg,http://health.liputan6.com/read/2902909/6-fakta-menarik-yang-berpotensi-tingkatkan-kehidupan-seks,19,Seks,6 Fakta Menarik yang Berpotensi Tingkatkan Kehidupan Seks 
Just For Kids,0,2017/03/29,http://cdn1-a.production.images.static6.com/ZQcSndWyH4nW3fuzyrgY74xJDO0=/1280x710/smart/filters:quality(75):strip_icc():format(jpeg)/liputan6-media-production/medias/1550432/original/093183200_1490775893-BWSS.jpg,http://regional.liputan6.com/read/2903110/danau-limboto-bisa-hilang-tak-sampai-10-tahun-lagi,34,Makassar,Danau Limboto Bisa Hilang Tak Sampai 10 Tahun Lagi
Just For Kids,0,2017/03/29,http://cdn1-a.production.images.static6.com/ksCbb-1CGGj9I6zFvntKQrrTiqU=/1280x710/smart/filters:quality(75):strip_icc():format(jpeg)/liputan6-media-production/medias/1550854/original/008021800_1490790688-6._Komisi_VII_DPR_RI_meninjau_Pembangkit_Listrik_Tenaga_Panas_Bumi__PLTP___Lahendong__Manado.JPG,http://news.liputan6.com/read/2903525/komisi-xi-dorong-optimalisasi-pengembangan-energi-panas-bumi,15,Warta DPR,Komisi XI Dorong Optimalisasi Pengembangan Energi Panas Bumi
Just For Kids,0,2017/03/29,http://cdn1-a.production.images.static6.com/NIH0HztQq8orS1KmDGDX9ShHwd0=/1280x710/smart/filters:quality(75):strip_icc():format(jpeg)/liputan6-media-production/medias/1547098/original/081749400_1490419848-AP17066724753717.jpg,http://bola.liputan6.com/read/2903521/5-pesepak-bola-yang-kecanduan-media-sosial,769,Corner,5 Pesepak Bola yang Kecanduan Media Sosial
Just For Kids,0,2017/03/29,http://cdn0-a.production.images.static6.com/uI8INOgN82IS34OdSPvGHWD2_Bg=/1280x710/smart/filters:quality(75):strip_icc():format(jpeg)/liputan6-media-production/medias/1447371/original/082842100_1482824916-apple.jpg,http://tekno.liputan6.com/read/2900552/6-produk-termahal-apple-yang-laris-manis,2.4k,Tech News,6 Produk Termahal Apple yang Laris Manis
Just For Kids,0,2017/03/29,http://cdn1-a.production.images.static6.com/5kZc0Dua693v36KBZulHIccH1Vc=/1280x710/smart/filters:quality(75):strip_icc():format(jpeg)/liputan6-media-production/medias/1550852/original/097731100_1490790571-5._Anggota_Baleg_DPR_RI_Putih_Sari.JPG,http://news.liputan6.com/read/2903523/anggota-baleg-usulkan-sebagian-dana-desa-untuk-kesehatan,13,Warta DPR,Anggota Baleg Usulkan Sebagian Dana Desa Untuk Kesehatan
