adult_popup,comments_count,date,image,link,share_count,tag,title
Just For Kids,0,2017/03/03,http://cdn0-a.production.images.static6.com/XQne4W6lFyP_VBrrYchewtCGEm4=/1280x710/smart/filters:quality(75):strip_icc():format(jpeg)/liputan6-media-production/medias/1525708/original/058582900_1488538624-Obama.jpg,http://tv.liputan6.com/read/2874743/video-ketika-warga-new-york-sambut-barack-obama-bak-selebritas,13,Liputan6 Petang,VIDEO: Ketika Warga New York Sambut Barack Obama bak Selebritas
Just For Kids,0,2017/03/03,http://cdn1-a.production.images.static6.com/wfVxFAb1M9w69llf3dFEhMVAmtU=/1280x710/smart/filters:quality(75):strip_icc():format(jpeg)/liputan6-media-production/medias/1206068/original/016382600_1460925119-2016-04-17T193415Z_1829170762_GF10000385883_RTRMADP_3_SOCCER-SPAIN.JPG,http://bola.liputan6.com/read/2874791/5-kandidat-kuat-suksesor-enrique-di-barcelona,124,Corner,5 Kandidat Kuat Suksesor Enrique di Barcelona
Just For Kids,0,2017/03/03,http://cdn1-a.production.images.static6.com/7vztuJOplw0dFIjxZiYCy_2sbFM=/1280x710/smart/filters:quality(75):strip_icc():format(jpeg)/liputan6-media-production/medias/852549/big/070175800_1429092025-hack.jpg,http://tekno.liputan6.com/read/2874847/tips-hindari-pencurian-data-via-wifi-gratisan,17,Internet,Tips Hindari Pencurian Data via WiFi Gratisan 
Just For Kids,0,2017/03/03,http://cdn1-a.production.images.static6.com/MFkwlClEoCnVBQXjmfgxd_eWOfY=/1280x710/smart/filters:quality(75):strip_icc():format(jpeg)/liputan6-media-production/medias/1326998/original/081839200_1472033799-14073273_1081807108569279_1851290156_n.jpg,http://showbiz.liputan6.com/read/2874697/sejak-menikah-aming-dan-evelyn-baru-2-kali-bertengkar,17,Selebritis,"‎Sejak Menikah, Aming dan Evelyn Baru 2 Kali Bertengkar"
Just For Kids,0,2017/03/03,http://cdn1-a.production.images.static6.com/p-2DK40nXDXQWPvYSFmrQ6k32pQ=/1280x710/smart/filters:quality(75):strip_icc():format(jpeg)/liputan6-media-production/medias/1525405/original/033047400_1488525796-Jamur_1_.JPG,http://regional.liputan6.com/read/2874551/dinyatakan-lulus-sekolah-7-orangutan-pulang-ke-rumah,222,Kalimantan,"Dinyatakan Lulus Sekolah, 7 Orangutan Pulang ke Rumah"
Just For Kids,0,2017/03/03,http://cdn0-a.production.images.static6.com/mULwsjlVw8xBv1nv3Xq5v7MaN_Y=/1280x710/smart/filters:quality(75):strip_icc():format(jpeg)/liputan6-media-production/medias/1524753/original/088073900_1488452126-nas.jpg,http://health.liputan6.com/read/2874597/6-manfaat-sehat-nasi-basmati-kegemaran-raja-salman,17,Health Info,6 Manfaat Sehat Nasi Basmati Kegemaran Raja Salman
Just For Kids,0,2017/03/03,http://cdn1-a.production.images.static6.com/VnAY363pAVNd9ZT6JviNi9rtzZo=/1280x710/smart/filters:quality(75):strip_icc():format(jpeg)/liputan6-media-production/medias/1521657/original/087742700_1488259064-1357735553-2548970_122814045115_2.jpg-scaled.jpg,http://lifestyle.liputan6.com/read/2871034/teknologi-penghancur-lemak-terbaru-untuk-mendapat-tubuh-ideal,14,Fashion & Beauty,Teknologi Penghancur Lemak Terbaru untuk Mendapat Tubuh Ideal
Just For Kids,0,2017/03/03,http://cdn1-a.production.images.static6.com/O-qUXf0BP7fCZcAeDw-6558iOSo=/1280x710/smart/filters:quality(75):strip_icc():format(jpeg)/liputan6-media-production/medias/1523573/original/014012800_1488370102-20170301--Presiden-Jokowi-Anugerahi-Raja-Salman-Bintang-Adipurna-Bogor-Angga-Yuniar-02.jpg,http://tv.liputan6.com/read/2874739/raja-salman-jamu-jokowi-minum-teh-hingga-foto-pm-kanada-viral,19,Liputan6 Petang,Raja Salman Jamu Jokowi Minum Teh hingga Foto PM Kanada Viral
Just For Kids,5,2017/03/03,http://cdn1-a.production.images.static6.com/EP144vKdwfaG1tyOffOSxbzBUGY=/1280x710/smart/filters:quality(75):strip_icc():format(jpeg)/liputan6-media-production/medias/1523888/original/052855100_1488407414-Barcelona_Vs_Sporting_06.jpg,http://bola.liputan6.com/read/2874755/suarez-madrid-saja-kami-bobol-4-gol-apalagi-psg,192,Liga Spanyol,"Suarez: Madrid Saja Kami Bobol 4 Gol, Apalagi PSG"
Just For Kids,6,2017/03/03,http://cdn1-a.production.images.static6.com/ckG4j2xF-BA_DM0ihIjMMMZiwjo=/1280x710/smart/filters:quality(75):strip_icc():format(jpeg)/liputan6-media-production/medias/791989/big/083364300_1420708591-Haul_Gusdur3.jpg,http://news.liputan6.com/read/2874829/yenny-wahid-raja-salman-kedepankan-kebinekaan-dan-toleransi,58,Peristiwa,Yenny Wahid: Raja Salman Kedepankan Kebinekaan dan Toleransi
Just For Kids,1,2017/03/03,http://cdn0-a.production.images.static6.com/IS43oOOnlwoUIEWEE9bv0ZL7hH8=/1280x710/smart/filters:quality(75):strip_icc():format(jpeg)/liputan6-media-production/medias/1524623/original/045843100_1488446946-Raja-Salman-dan-Jokowi-Salat-Tahyatul-di-Masjid-Istiqlal6.jpg,http://global.liputan6.com/read/2874723/bertemu-28-pemuka-agama-raja-salman-ungkapkan-kesannya-di-ri,1.8k,Internasional,"Bertemu 28 Pemuka Agama, Raja Salman Ungkapkan Kesannya di RI"
Just For Kids,0,2017/03/03,http://cdn1-a.production.images.static6.com/0oVw9Yi-WX8zO6D6vAoX_2rMaBo=/1280x710/smart/filters:quality(75):strip_icc():format(jpeg)/liputan6-media-production/medias/1041291/original/085524300_1446466830-20151101-Penyimpanan-Uang-Jakarta-04.jpg,http://bisnis.liputan6.com/read/2874823/top-3-simpanan-nasabah-kaya-di-bank-naik-jadi-rp-2769-t,13,Ekonomi,Top 3: Simpanan Nasabah Kaya di Bank Naik Jadi Rp 2.769 T
Just For Kids,0,2017/03/03,http://cdn0-a.production.images.static6.com/p8xYqmzpjVUHOeRH6lVSWQKDNtQ=/1280x710/smart/filters:quality(75):strip_icc():format(jpeg)/liputan6-media-production/medias/1525198/original/051584000_1488516695-telur_1.jpg,http://citizen6.liputan6.com/read/2874386/telur-penguin-rebus-bagaimana-bentuk-dan-rasanya,16,Hits,"Telur Penguin Rebus, Bagaimana Bentuk dan Rasanya?"
Just For Kids,0,2017/03/03,http://cdn1-a.production.images.static6.com/gfo3Zj7FE5M5df48OiAjGvh1eVc=/1280x710/smart/filters:quality(75):strip_icc():format(jpeg)/liputan6-media-production/medias/1525693/original/041950800_1488537244-b3.jpg,http://tv.liputan6.com/read/2874737/segmen-3-liburan-raja-salman-di-bali-hingga-foto-muda-pm-kanada,17,Liputan6 Petang,Segmen 3: Liburan Raja Salman di Bali hingga Foto Muda PM Kanada
Just For Kids,0,2017/03/03,http://cdn1-a.production.images.static6.com/X4mmGeC1CuGKJaUg7uWS5iTwJEU=/1280x710/smart/filters:quality(75):strip_icc():format(jpeg)/liputan6-media-production/medias/1523019/original/051856800_1488350720-Raja-Salman2.jpg,http://news.liputan6.com/read/2874717/dua-pesawat-rombongan-raja-salman-batal-mendarat-di-bali,17,Peristiwa,Dua Pesawat Rombongan Raja Salman Batal Mendarat di Bali 
Just For Kids,0,2017/03/03,http://cdn1-a.production.images.static6.com/Dswk0gGThLpK9nlFHYqqCaWwHng=/1280x710/smart/filters:quality(75):strip_icc():format(jpeg)/liputan6-media-production/medias/1480127/original/077957600_1485135182-fildan.jpg,http://showbiz.liputan6.com/read/2874526/begini-perasaan-fildan-tampil-di-pesta-bollywood-indosiar,16,Dangdut Academy 4,Begini Perasaan Fildan Tampil di Pesta Bollywood Indosiar
