adult_popup,comments_count,date,image,link,share_count,tag,title
Just For Kids,0,2017/03/30,http://cdn0-a.production.images.static6.com/ojIzwpBYcTcHw7rqAMxDc0HXyWw=/1280x710/smart/filters:quality(75):strip_icc():format(jpeg)/liputan6-media-production/medias/1550752/original/051319300_1490788275-IMG_20170329_152705.jpg,http://lifestyle.liputan6.com/read/2903473/jakarta-dance-meet-up-ajang-kolaborasi-antar-komunitas-tari,13,Art & Culture,"Jakarta Dance Meet Up, Ajang Kolaborasi Antar Komunitas Tari"
Just For Kids,0,2017/03/30,http://cdn1-a.production.images.static6.com/r6fGhKBWzslJhGUJ7l0BcOCUVec=/1280x710/smart/filters:quality(75):strip_icc():format(jpeg)/liputan6-media-production/medias/1521063/original/064160300_1488194319-Cipika_Play_27Feb2017.jpeg,http://tekno.liputan6.com/read/2904747/cipika-play-bidik-100-ribu-pengguna-aktif-dengan-genjot-transaksi,17,Game,Cipika Play Bidik 100 Ribu Pengguna Aktif dengan Genjot Transaksi
Just For Kids,5,2017/03/30,http://cdn0-a.production.images.static6.com/hpuB0jE0iJLUxfVS2h8JwCFhKBo=/1280x710/smart/filters:quality(75):strip_icc():format(jpeg)/liputan6-media-production/medias/765846/big/085186800_1415883209-desmond.jpg,http://news.liputan6.com/read/2904675/bantah-menekan-miryam-di-kasus-e-ktp-desmond-minta-pembuktian,22,Peristiwa,"Bantah Menekan Miryam di Kasus E-KTP, Desmond Minta Pembuktian"
Just For Kids,0,2017/03/30,http://cdn0-a.production.images.static6.com/2HfMKzus_eqgaGKZzF-HEjqzTWw=/1280x710/smart/filters:quality(75):strip_icc():format(jpeg)/liputan6-media-production/medias/1551928/original/022446800_1490866592-20170330-Carlton-Cole-AP1.jpg,http://photo.liputan6.com/bola/sosok-carlton-cole-striker-anyar-persib-dari-klub-eropa-2904741,11,Bola,"Sosok Carlton Cole, Striker Anyar Persib dari Klub Eropa"
Just For Kids,0,2017/03/30,http://cdn0-a.production.images.static6.com/sagfG12r9yjci2LiIOc40bbDcUg=/1280x710/smart/filters:quality(75):strip_icc():format(jpeg)/liputan6-media-production/medias/1550248/original/030030900_1490767542-guest-arema_arhanud__6_.JPG,http://bola.liputan6.com/read/2904577/arema-coret-pemain-asing-asal-prancis,748,Liga Indonesia,Arema Coret Pemain Asing Asal Prancis
Just For Kids,0,2017/03/30,http://cdn1-a.production.images.static6.com/M0QRFYO7oJ-vxEeXdmZYxQOJPGo=/1280x710/smart/filters:quality(75):strip_icc():format(jpeg)/liputan6-media-production/medias/1063085/original/030650200_1448180231-000_Hkg8650193.jpg,http://bisnis.liputan6.com/read/2904628/perundingan-masalah-status-kontrak-freeport-masuk-tahap-final,1.1k,Energi & Tambang,Perundingan Masalah Status Kontrak Freeport Masuk Tahap Final
Just For Kids,3,2017/03/30,http://cdn1-a.production.images.static6.com/0x4EiX0uPnUN4NUxt-xDRCsbhDI=/1280x710/smart/filters:quality(75):strip_icc():format(jpeg)/liputan6-media-production/medias/849354/big/062739500_1428827195-Ahok-3.jpg,http://news.liputan6.com/read/2904644/ketum-pemuda-muhammadiyah-aksi-313-rentan-ditunggangi,410,Peristiwa,Ketum Pemuda Muhammadiyah: Aksi 313 Rentan Ditunggangi
Just For Kids,0,2017/03/30,http://cdn0-a.production.images.static6.com/NXVwXq4jlih7UukH3l6chmOeUOc=/1280x710/smart/filters:quality(75):strip_icc():format(jpeg)/liputan6-media-production/medias/1489294/original/077979100_1485529707-20170127-Cagub-Saling-Lempar-Pertanyaan-FF5.jpg,http://pilkada.liputan6.com/read/2904652/djarot-program-kjp-plus-tidak-bisa-berkelanjutan,12,Pilkada,Djarot: Program KJP Plus Tidak Bisa Berkelanjutan
Just For Kids,0,2017/03/30,http://cdn0-a.production.images.static6.com/2KUqQ3JuhkZGqWJbH6C5URae7S0=/1280x710/smart/filters:quality(75):strip_icc():format(jpeg)/liputan6-media-production/medias/743902/big/039464400_1411979243-ghani_3.jpg,http://global.liputan6.com/read/2904561/presiden-afghanistan-datang-ke-indonesia-4-mou-siap-dihasilkan,608,Internasional,"Presiden Afghanistan Datang ke Indonesia, 4 MoU Siap Dihasilkan"
Just For Kids,0,2017/03/30,http://cdn1-a.production.images.static6.com/ZUSHMY3VOmEMDLvwTlrMAYD6qKA=/1280x710/smart/filters:quality(75):strip_icc():format(jpeg)/liputan6-media-production/medias/1420382/original/048349700_1480416066-CEK_TOKO_SEBELAH.jpg,http://showbiz.liputan6.com/read/2904328/alasan-juri-pilih-cek-toko-sebelah-jadi-film-terbaik-iboma-2017,18,Film,Alasan Juri Pilih Cek Toko Sebelah Jadi Film Terbaik IBOMA 2017
