image,order-num,price,product-link,product-name,rate-num,rate-percent,sku,store-link,store-name,unit
https://ae01.alicdn.com/kf/HTB1K0nwNFXXXXc1aXXXq6xXFXXXr/Bodycon-Sheath-Dress-Long-Sleeve-Party-Sexy-Dresses-Women-Clothing-Back-Full-Zipper-Robe-Sexy-Femme.jpg,9106,"R$ 31,47","www.aliexpress.com/item/Bodycon-Sheath-Dress-Long-Sleeve-Party-Sexy-Dresses-Women-Clothing-Back-Full-Zipper-Robe-Sexy-Femme/32678551390.html?ws_ab_test=searchweb0_0,searchweb201602_2_10152_10066_10151_10065_10150_10068_10136_10137_10138_10060_10062_10141_10056_10055_10054_10059_10099_10103_10102_10096_10148_10147_10052_10053_10050_10107_10142_10051_10143_10084_10083_10119_10080_10082_10081_10110_10111_10112_10113_10114_130_10078_10079_10073_10070_10123_10120_10124,searchweb201603_4,afswitch_1_afChannel,ppcSwitch_2&btsid=cf7983b6-f45d-48a7-9ee3-70c89da5d12b&algo_expid=63988efa-13e3-4c79-82b3-4dc3bea9a159-10&algo_pvid=63988efa-13e3-4c79-82b3-4dc3bea9a159",Gamiss Bodycon Sheath Dress Long Sleeve Party Sexy Dresses Women Clothing Back Full Zipper Robe Sexy Pencil Tight Dress Vestidos,10021.0,4.7,5 Colors Available,www.aliexpress.com/store/211739,Sammydress Group Co. Ltd,piece
https://ae01.alicdn.com/kf/HTB1hUelKVXXXXapXFXXq6xXFXXXG/New-Korean-Women-Ladies-Off-Shoulder-Long-Sleeve-Bodycon-Party-Casual-Autumn-Novelty-Dress-Knitwear-Clothing.jpg,8497,"R$ 21,14","www.aliexpress.com/item/New-Korean-Women-Ladies-Off-Shoulder-Long-Sleeve-Bodycon-Party-Casual-Autumn-Novelty-Dress-Knitwear-Clothing/1479544908.html?ws_ab_test=searchweb0_0,searchweb201602_2_10152_10066_10151_10065_10150_10068_10136_10137_10138_10060_10062_10141_10056_10055_10054_10059_10099_10103_10102_10096_10148_10147_10052_10053_10050_10107_10142_10051_10143_10084_10083_10119_10080_10082_10081_10110_10111_10112_10113_10114_130_10078_10079_10073_10070_10123_10120_10124,searchweb201603_4,afswitch_1_afChannel,ppcSwitch_2&btsid=cf7983b6-f45d-48a7-9ee3-70c89da5d12b&algo_expid=63988efa-13e3-4c79-82b3-4dc3bea9a159-11&algo_pvid=63988efa-13e3-4c79-82b3-4dc3bea9a159",GZDL Fashion Autumn Winter Women Sweater Knitted Dress Long Sleeve Bodycon Stretch Woman Solid Casual Party Lady Dresses CL1114,9621.0,4.7,2 Colors Available,www.aliexpress.com/store/817570,GZDL Speciality Store,piece
https://ae01.alicdn.com/kf/HTB1v4WEOFXXXXc1XVXXq6xXFXXX4/2016-Fashion-women-Elegant-Vintage-sweet-lace-white-Dress-stylish-sexy-slash-neck-casual-slim-beach.jpg,8483,"R$ 22,05","www.aliexpress.com/item/2016-Fashion-women-Elegant-Vintage-sweet-lace-white-Dress-stylish-sexy-slash-neck-casual-slim-beach/32686243536.html?ws_ab_test=searchweb0_0,searchweb201602_2_10152_10066_10151_10065_10150_10068_10136_10137_10138_10060_10062_10141_10056_10055_10054_10059_10099_10103_10102_10096_10148_10147_10052_10053_10050_10107_10142_10051_10143_10084_10083_10119_10080_10082_10081_10110_10111_10112_10113_10114_130_10078_10079_10073_10070_10123_10120_10124,searchweb201603_4,afswitch_1_afChannel,ppcSwitch_2&btsid=cf7983b6-f45d-48a7-9ee3-70c89da5d12b&algo_expid=63988efa-13e3-4c79-82b3-4dc3bea9a159-12&algo_pvid=63988efa-13e3-4c79-82b3-4dc3bea9a159",2016 Fashion women Elegant Vintage sweet lace white Dress stylish sexy slash neck casual slim beach Summer Sundress vestidos,1772.0,4.8,2 Colors Available,www.aliexpress.com/store/2225108,MUICHES MUICHES Store,piece
https://ae01.alicdn.com/kf/HTB1F4t8IFXXXXXRXVXXq6xXFXXXN/2015-spring-summer-autumn-new-Korean-Women-casual-Bohemian-floral-sleeveless-vest-printed-beach-chiffon-dress.jpg,8234,"R$ 12,57","www.aliexpress.com/item/2015-spring-summer-autumn-new-Korean-Women-casual-Bohemian-floral-sleeveless-vest-printed-beach-chiffon-dress/2055512777.html?ws_ab_test=searchweb0_0,searchweb201602_2_10152_10066_10151_10065_10150_10068_10136_10137_10138_10060_10062_10141_10056_10055_10054_10059_10099_10103_10102_10096_10148_10147_10052_10053_10050_10107_10142_10051_10143_10084_10083_10119_10080_10082_10081_10110_10111_10112_10113_10114_130_10078_10079_10073_10070_10123_10120_10124,searchweb201603_4,afswitch_1_afChannel,ppcSwitch_2&btsid=cf7983b6-f45d-48a7-9ee3-70c89da5d12b&algo_expid=63988efa-13e3-4c79-82b3-4dc3bea9a159-13&algo_pvid=63988efa-13e3-4c79-82b3-4dc3bea9a159",2017 summer autumn new Korean Women casual Bohemian floral leopard sleeveless vest printed beach chiffon dress vestidos WC0344,6366.0,4.8,19 Colors Available,www.aliexpress.com/store/319411,Idealark Official Store,piece
https://ae01.alicdn.com/kf/HTB1KzFhPFXXXXbZXFXXq6xXFXXXg/Sexy-Night-Club-Bodycon-Sheath-Dress-Winter-Fall-Long-Sleeve-Dress-Women-Fashion-Back-Zipper-Knee.jpg,8127,"R$ 31,47","www.aliexpress.com/item/Sexy-Night-Club-Bodycon-Sheath-Dress-Winter-Fall-Long-Sleeve-Dress-Women-Fashion-Back-Zipper-Knee/32602255273.html?ws_ab_test=searchweb0_0,searchweb201602_2_10152_10066_10151_10065_10150_10068_10136_10137_10138_10060_10062_10141_10056_10055_10054_10059_10099_10103_10102_10096_10148_10147_10052_10053_10050_10107_10142_10051_10143_10084_10083_10119_10080_10082_10081_10110_10111_10112_10113_10114_130_10078_10079_10073_10070_10123_10120_10124,searchweb201603_4,afswitch_1_afChannel,ppcSwitch_2&btsid=cf7983b6-f45d-48a7-9ee3-70c89da5d12b&algo_expid=63988efa-13e3-4c79-82b3-4dc3bea9a159-14&algo_pvid=63988efa-13e3-4c79-82b3-4dc3bea9a159",VESTLINDA Bodycon Sheath Dress Little Black Long Sleeve Party Dresses Women Back Full Zipper Robe Sexy Femme Pencil Tight Dress,9758.0,4.7,5 Colors Available,www.aliexpress.com/store/1981386,VESTLINDA Mordern Store,piece
https://ae01.alicdn.com/kf/HTB1xGXWNpXXXXcVaXXXq6xXFXXXG/SheIn-Women-Brown-Velvet-Sheath-Dresses-Summer-Ladies-Round-Neck-Short-Sleeve-Knee-Length-Elegant-Pencil.jpg,7941,"R$ 31,41","www.aliexpress.com/item/SheIn-Women-Brown-Velvet-Sheath-Dresses-Summer-Ladies-Round-Neck-Short-Sleeve-Knee-Length-Elegant-Pencil/32736396056.html?ws_ab_test=searchweb0_0,searchweb201602_2_10152_10066_10151_10065_10150_10068_10136_10137_10138_10060_10062_10141_10056_10055_10054_10059_10099_10103_10102_10096_10148_10147_10052_10053_10050_10107_10142_10051_10143_10084_10083_10119_10080_10082_10081_10110_10111_10112_10113_10114_130_10078_10079_10073_10070_10123_10120_10124,searchweb201603_4,afswitch_1_afChannel,ppcSwitch_2&btsid=cf7983b6-f45d-48a7-9ee3-70c89da5d12b&algo_expid=63988efa-13e3-4c79-82b3-4dc3bea9a159-15&algo_pvid=63988efa-13e3-4c79-82b3-4dc3bea9a159",SheIn Women Brown Velvet Sheath Dresses Summer Ladies Round Neck Short Sleeve Knee Length Elegant Pencil Dress,7466.0,4.9,,www.aliexpress.com/store/1159363,SheIn Official Store,piece
https://ae01.alicdn.com/kf/HTB1RjRIOXXXXXcqXVXXq6xXFXXXs/2015-Cotton-Knitted-Long-Sleeve-Knee-Length-Midi-Dress-Slim-Bodycon-Bandage-Autumn-Black-Wine-Red.jpg,7404,"R$ 25,48","www.aliexpress.com/item/2015-Cotton-Knitted-Long-Sleeve-Knee-Length-Midi-Dress-Slim-Bodycon-Bandage-Autumn-Black-Wine-Red/32524956507.html?ws_ab_test=searchweb0_0,searchweb201602_2_10152_10066_10151_10065_10150_10068_10136_10137_10138_10060_10062_10141_10056_10055_10054_10059_10099_10103_10102_10096_10148_10147_10052_10053_10050_10107_10142_10051_10143_10084_10083_10119_10080_10082_10081_10110_10111_10112_10113_10114_130_10078_10079_10073_10070_10123_10120_10124,searchweb201603_4,afswitch_1_afChannel,ppcSwitch_2&btsid=cf7983b6-f45d-48a7-9ee3-70c89da5d12b&algo_expid=63988efa-13e3-4c79-82b3-4dc3bea9a159-16&algo_pvid=63988efa-13e3-4c79-82b3-4dc3bea9a159",2017 Long Sleeve Knee Length Midi Dress Slim Bodycon Bandage Autumn Black Wine Red Women Dresses Bandage Vestidos Q0001,11030.0,4.7,5 Colors Available,www.aliexpress.com/store/629451,iFashion (Hong Kong) Limited,piece
https://ae01.alicdn.com/kf/HTB1TBHELXXXXXc7XFXXq6xXFXXXn/Long-sleeve-winter-women-sexy-Criss-nigh-club-wear-bandage-bodycon-party-dresses-white-black-red.jpg,6971,"R$ 26,49","www.aliexpress.com/item/Long-sleeve-winter-women-sexy-Criss-nigh-club-wear-bandage-bodycon-party-dresses-white-black-red/32470827775.html?ws_ab_test=searchweb0_0,searchweb201602_2_10152_10066_10151_10065_10150_10068_10136_10137_10138_10060_10062_10141_10056_10055_10054_10059_10099_10103_10102_10096_10148_10147_10052_10053_10050_10107_10142_10051_10143_10084_10083_10119_10080_10082_10081_10110_10111_10112_10113_10114_130_10078_10079_10073_10070_10123_10120_10124,searchweb201603_4,afswitch_1_afChannel,ppcSwitch_2&btsid=cf7983b6-f45d-48a7-9ee3-70c89da5d12b&algo_expid=63988efa-13e3-4c79-82b3-4dc3bea9a159-17&algo_pvid=63988efa-13e3-4c79-82b3-4dc3bea9a159",Blue Black White Long Sleeve Elastic Cotton Warm Winter Elegant Party Dresses 2015 Sexy Midi Pencil Club Bandage Bodycon Dress,5365.0,4.7,5 Colors Available,www.aliexpress.com/store/1736343,ForeFair Apparel Store,piece
https://ae01.alicdn.com/kf/HTB1_CDbJVXXXXc2XFXXq6xXFXXXU/Vestidos-Sexy-Ruffles-Women-Dress-Summer-Style-Sleeveless-Bodycon-Dresses-Party-Cocktail-Short-Mini-Tube-Beach.jpg,6546,"R$ 26,46","www.aliexpress.com/item/Vestidos-Sexy-Ruffles-Women-Dress-Summer-Style-Sleeveless-Bodycon-Dresses-Party-Cocktail-Short-Mini-Tube-Beach/32670051085.html?ws_ab_test=searchweb0_0,searchweb201602_2_10152_10066_10151_10065_10150_10068_10136_10137_10138_10060_10062_10141_10056_10055_10054_10059_10099_10103_10102_10096_10148_10147_10052_10053_10050_10107_10142_10051_10143_10084_10083_10119_10080_10082_10081_10110_10111_10112_10113_10114_130_10078_10079_10073_10070_10123_10120_10124,searchweb201603_4,afswitch_1_afChannel,ppcSwitch_2&btsid=cf7983b6-f45d-48a7-9ee3-70c89da5d12b&algo_expid=63988efa-13e3-4c79-82b3-4dc3bea9a159-18&algo_pvid=63988efa-13e3-4c79-82b3-4dc3bea9a159",Vestidos Sexy Ruffles Women Dress Summer Sleeveless Casual A Line Bodycon Dresses Party Cocktail Short Mini Tube Beach Dress,3217.0,4.8,6 Colors Available,www.aliexpress.com/store/2166072,YDY,piece
https://ae01.alicdn.com/kf/HTB1OMlYKpXXXXalXXXXq6xXFXXX4/Women-Ladies-A-Word-Chiffon-Casual-OL-Dress-With-Belt-S-M-L-XL-XXL-Plus.jpg,6370,"R$ 18,46","www.aliexpress.com/item/Women-Ladies-A-Word-Chiffon-Casual-OL-Dress-With-Belt-S-M-L-XL-XXL-Plus/32682425694.html?ws_ab_test=searchweb0_0,searchweb201602_2_10152_10066_10151_10065_10150_10068_10136_10137_10138_10060_10062_10141_10056_10055_10054_10059_10099_10103_10102_10096_10148_10147_10052_10053_10050_10107_10142_10051_10143_10084_10083_10119_10080_10082_10081_10110_10111_10112_10113_10114_130_10078_10079_10073_10070_10123_10120_10124,searchweb201603_4,afswitch_1_afChannel,ppcSwitch_2&btsid=cf7983b6-f45d-48a7-9ee3-70c89da5d12b&algo_expid=63988efa-13e3-4c79-82b3-4dc3bea9a159-19&algo_pvid=63988efa-13e3-4c79-82b3-4dc3bea9a159",2017 Fashion Women's Short Sleeve Stretch Chiffon Casual OL Belt Mini Dress Vestidos,574.0,4.7,2 Colors Available,www.aliexpress.com/store/2010024,Baby Garden 2016,piece
